System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_1_Description,Level_2_Description,Level_3_Description
924,Hurley Pre-School,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
924,Hurley Pre-School,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
925,Hurley Pre-School,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
925,Hurley Pre-School,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
941,Magic Roundabout Nurseries Ltd,FSD,Families,Activities and things to do,Holiday activities
941,Magic Roundabout Nurseries Ltd,FSD,SEND Local Offer,Activities and things to do,Holiday activities
942,Loughborough Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
942,Loughborough Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
952,Whippersnappers Inclusive After School Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
952,Whippersnappers Inclusive After School Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
961,Streatham Wells Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
961,Streatham Wells Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
972,Hitherfield Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
972,Hitherfield Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
975,Oasis Academy Johanna - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
975,Oasis Academy Johanna - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
976,Oasis Academy Johanna - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
976,Oasis Academy Johanna - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
988,Rosendale Primary School Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
988,Rosendale Primary School Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
1012,Cherubins Day Nursery Ltd,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
1012,Cherubins Day Nursery Ltd,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
1072,St Peter's Church - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
1072,St Peter's Church - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
1383,Brixton Library,FSD,Families,Activities and things to do,Libraries
1383,Brixton Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1383,Brixton Library,FSD,Young People,Activities and things to do,Libraries
1388,Carnegie Library,FSD,Families,Activities and things to do,Libraries
1388,Carnegie Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1388,Carnegie Library,FSD,Young People,Activities and things to do,Libraries
1393,Clapham Library,FSD,Families,Activities and things to do,Libraries
1393,Clapham Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1393,Clapham Library,FSD,Young People,Activities and things to do,Libraries
1399,Durning Library,FSD,Families,Activities and things to do,Libraries
1399,Durning Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1399,Durning Library,FSD,Young People,Activities and things to do,Libraries
1404,Minet Library,FSD,Families,Activities and things to do,Libraries
1404,Minet Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1404,Minet Library,FSD,Young People,Activities and things to do,Libraries
1415,Tate South Lambeth Library,FSD,Families,Activities and things to do,Libraries
1415,Tate South Lambeth Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1415,Tate South Lambeth Library,FSD,Young People,Activities and things to do,Libraries
1420,Streatham Library,FSD,Families,Activities and things to do,Libraries
1420,Streatham Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1420,Streatham Library,FSD,Young People,Activities and things to do,Libraries
1445,Waterloo Library,FSD,Families,Activities and things to do,Libraries
1445,Waterloo Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1445,Waterloo Library,FSD,Young People,Activities and things to do,Libraries
1450,West Norwood Library,FSD,Families,Activities and things to do,Libraries
1450,West Norwood Library,FSD,SEND Local Offer,Activities and things to do,Libraries
1450,West Norwood Library,FSD,Young People,Activities and things to do,Libraries
1491,Slade Gardens Play And Stay,FSD,Families,Activities and things to do,Parent and toddler groups
1491,Slade Gardens Play And Stay,FSD,Families,Children’s Centres and One O’ Clock Clubs,Stay and Play one o'clock clubs
1491,Slade Gardens Play And Stay,FSD,SEND Local Offer,Activities and things to do,Parent and toddler groups
1491,Slade Gardens Play And Stay,FSD,SEND Local Offer,Children’s Centres and One O’ Clock Clubs,Stay and Play one o'clock clubs
1514,Kennington Park Centre Stay And Play,FSD,Families,Activities and things to do,Parent and toddler groups
1514,Kennington Park Centre Stay And Play,FSD,Families,Children’s Centres and One O’ Clock Clubs,Stay and Play one o'clock clubs
1514,Kennington Park Centre Stay And Play,FSD,SEND Local Offer,Activities and things to do,Parent and toddler groups
1514,Kennington Park Centre Stay And Play,FSD,SEND Local Offer,Children’s Centres and One O’ Clock Clubs,Stay and Play one o'clock clubs
1517,Vauxhall Primary School - Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
1517,Vauxhall Primary School - Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
1519,Kennington Park Centre Adventure Playground,FSD,Families,Activities and things to do,Adventure play
1519,Kennington Park Centre Adventure Playground,FSD,SEND Local Offer,Activities and things to do,Adventure play
1519,Kennington Park Centre Adventure Playground,FSD,Young People,Activities and things to do,Adventure play
1525,Streatham Vale Stay And Play,FSD,Families,Activities and things to do,Parent and toddler groups
1525,Streatham Vale Stay And Play,FSD,Families,Children’s Centres and One O’ Clock Clubs,Stay and Play one o'clock clubs
1525,Streatham Vale Stay And Play,FSD,SEND Local Offer,Activities and things to do,Parent and toddler groups
1525,Streatham Vale Stay And Play,FSD,SEND Local Offer,Children’s Centres and One O’ Clock Clubs,Stay and Play one o'clock clubs
1612,Friday Youth Club @ Slade Gardens Adventure Playground,FSD,SEND Local Offer,Activities and things to do,Youth clubs
1612,Friday Youth Club @ Slade Gardens Adventure Playground,FSD,Young People,Activities and things to do,Youth clubs
1616,Streatham Adventure Playground,FSD,Families,Activities and things to do,Adventure play
1616,Streatham Adventure Playground,FSD,SEND Local Offer,Activities and things to do,Adventure play
1616,Streatham Adventure Playground,FSD,Young People,Activities and things to do,Adventure play
1657,Flaxman Sports Centre,FSD,Families,Activities and things to do,Leisure Centres
1657,Flaxman Sports Centre,FSD,SEND Local Offer,Activities and things to do,Leisure Centres
1657,Flaxman Sports Centre,FSD,Young People,Activities and things to do,Leisure Centres
1658,Clapham Leisure Centre,FSD,Families,Activities and things to do,Leisure Centres
1658,Clapham Leisure Centre,FSD,SEND Local Offer,Activities and things to do,Leisure Centres
1658,Clapham Leisure Centre,FSD,Young People,Activities and things to do,Leisure Centres
1678,Streatham Ice And Leisure Centre,FSD,Families,Activities and things to do,Leisure Centres
1678,Streatham Ice And Leisure Centre,FSD,SEND Local Offer,Activities and things to do,Leisure Centres
1678,Streatham Ice And Leisure Centre,FSD,Young People,Activities and things to do,Leisure Centres
1706,Clapham Manor - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
1706,Clapham Manor - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,Families,Children’s Centres and One O’ Clock Clubs,Healthy eating
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,Families,Health and well being,Healthy eating
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,SEND Local Offer,Children’s Centres and One O’ Clock Clubs,Healthy eating
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,SEND Local Offer,Health and well being,Healthy eating
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,Families,Early Learning and childcare,Childcare during the holidays
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
1930,Rough Sleepers Space,FSD,Families,Support and advice services,
1930,Rough Sleepers Space,FSD,SEND Local Offer,Support and advice services,
1932,Women's Space,FSD,Families,Support and advice services,
1932,Women's Space,FSD,SEND Local Offer,Support and advice services,
1938,Whippersnappers,FSD,Families,Activities and things to do,"Music, dance and drama"
1938,Whippersnappers,FSD,Families,Activities and things to do,Sports
1938,Whippersnappers,FSD,SEND Local Offer,Activities and things to do,"Music, dance and drama"
1938,Whippersnappers,FSD,SEND Local Offer,Activities and things to do,Sports
1941,Camberwell Sexual Health Centre,FSD,Young People,Health and wellbeing,Sexual health
2031,Young And Talented - School Of Stage And Screen,FSD,Families,Activities and things to do,"Music, dance and drama"
2031,Young And Talented - School Of Stage And Screen,FSD,SEND Local Offer,Activities and things to do,"Music, dance and drama"
2031,Young And Talented - School Of Stage And Screen,FSD,Young People,Activities and things to do,"Music, dance and drama"
2032,Saturday Classe,FSD,Families,Activities and things to do,Creative Arts and Multimedia
2032,Saturday Classe,FSD,SEND Local Offer,Activities and things to do,Creative Arts and Multimedia
2032,Saturday Classe,FSD,Young People,Activities and things to do,Creative Arts and Multimedia
2054,Art4space,FSD,Families,Activities and things to do,Creative Arts and Multimedia
2054,Art4space,FSD,SEND Local Offer,Activities and things to do,Creative Arts and Multimedia
2054,Art4space,FSD,Young People,Activities and things to do,Creative Arts and Multimedia
2113,St Michael's Fellowship,FSD,Families,Support and advice services,Support for young parents
2113,St Michael's Fellowship,FSD,SEND Local Offer,Support and advice services,Support for young parents
2113,St Michael's Fellowship,FSD,Young People,Support and advice services,Support for young parents
2124,High Trees Community Development Trust,FSD,Families,Activities and things to do,Adventure play
2124,High Trees Community Development Trust,FSD,Families,"Training, employment and education for adults",Family learning
2124,High Trees Community Development Trust,FSD,Families,"Training, employment and education for adults",Courses for adults
2124,High Trees Community Development Trust,FSD,Families,"Training, employment and education for adults",Finding employment
