System_Ref,FIS_Provider_Name,Level_1_Description,Upload_to_FIDy
1930,Rough Sleepers Space,SEND Local Offer,FSD
1932,Women's Space,Families,FSD
1932,Women's Space,SEND Local Offer,FSD
1938,Whippersnappers,Families,FSD
1938,Whippersnappers,SEND Local Offer,FSD
1941,Camberwell Sexual Health Centre,Young People,FSD
2031,Young And Talented - School Of Stage And Screen,Families,FSD
2031,Young And Talented - School Of Stage And Screen,SEND Local Offer,FSD
2031,Young And Talented - School Of Stage And Screen,Young People,FSD
2032,Saturday Classe,Families,FSD
2032,Saturday Classe,SEND Local Offer,FSD
2032,Saturday Classe,Young People,FSD
2054,Art4space,Families,FSD
2054,Art4space,SEND Local Offer,FSD
2054,Art4space,Young People,FSD
2113,St Michael's Fellowship,Families,FSD
2113,St Michael's Fellowship,SEND Local Offer,FSD
2113,St Michael's Fellowship,Young People,FSD
2124,High Trees Community Development Trust,Families,FSD
2124,High Trees Community Development Trust,SEND Local Offer,FSD
2124,High Trees Community Development Trust,Young People,FSD
2183,Fulham Football Club Foundation,Families,FSD
2183,Fulham Football Club Foundation,SEND Local Offer,FSD
2183,Fulham Football Club Foundation,Young People,FSD
2202,King’s College Hospital Nhs Foundation Trust,Families,FSD
2202,King’s College Hospital Nhs Foundation Trust,SEND Local Offer,FSD
2202,King’s College Hospital Nhs Foundation Trust,Young People,FSD
2279,Rathbone Youth Service,Families,FSD
2279,Rathbone Youth Service,SEND Local Offer,FSD
2279,Rathbone Youth Service,Young People,FSD
2312,Wyvil Language Centre,Families,FSD
2312,Wyvil Language Centre,SEND Local Offer,FSD
2321,Home-Start Lambeth,Families,FSD
2321,Home-Start Lambeth,SEND Local Offer,FSD
2619,Alford House Youth Club,Families,FSD
2619,Alford House Youth Club,SEND Local Offer,FSD
2619,Alford House Youth Club,Young People,FSD
2665,Hill Mead Primary School - Breakfast Club,Families,ECD
2665,Hill Mead Primary School - Breakfast Club,SEND Local Offer,ECD
2701,Special Educational Needs (SEND),Families,FSD
2701,Special Educational Needs (SEND),SEND Local Offer,FSD
2704,S.Y.C.T. Seniors Club,Families,FSD
2704,S.Y.C.T. Seniors Club,SEND Local Offer,FSD
2704,S.Y.C.T. Seniors Club,Young People,FSD
2821,Oasis Play After School Environmental Play,Families,FSD
2821,Oasis Play After School Environmental Play,SEND Local Offer,FSD
2821,Oasis Play After School Environmental Play,Young People,FSD
2900,Brixton Advice Centre,Families,FSD
2900,Brixton Advice Centre,SEND Local Offer,FSD
2913,Brockwell Park Community Greenhouses,Families,FSD
2913,Brockwell Park Community Greenhouses,SEND Local Offer,FSD
2913,Brockwell Park Community Greenhouses,Young People,FSD
3013,St Stephen's Youth Work,Young People,FSD
3048,Lifelong Family Links Playschemes,Families,FSD
3048,Lifelong Family Links Playschemes,SEND Local Offer,FSD
3048,Lifelong Family Links Playschemes,Young People,FSD
3076,Bonneville Primary School - Carry On Café,Families,ECD
3076,Bonneville Primary School - Carry On Café,SEND Local Offer,ECD
3093,Every Pound Counts,Families,FSD
3093,Every Pound Counts,SEND Local Offer,FSD
3095,Park Campus Academy (Secondary Alternative Provision),Families,ECD
3095,Park Campus Academy (Secondary Alternative Provision),SEND Local Offer,ECD
3151,Code 7 Ltd,Families,FSD
3151,Code 7 Ltd,SEND Local Offer,FSD
3151,Code 7 Ltd,Young People,FSD
3156,Ferndale Community Sports Centre,Families,FSD
3156,Ferndale Community Sports Centre,SEND Local Offer,FSD
3156,Ferndale Community Sports Centre,Young People,FSD
3210,Scope,Families,FSD
3210,Scope,SEND Local Offer,FSD
3444,Lambeth Somali Community Association,Families,FSD
3444,Lambeth Somali Community Association,SEND Local Offer,FSD
3591,Online Homework Club,Families,FSD
3591,Online Homework Club,Young People,FSD
3660,Kidscape,Young People,FSD
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),Families,FSD
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),SEND Local Offer,FSD
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),Young People,FSD
3755,Lambeth Adoption And Fostering,Families,FSD
3755,Lambeth Adoption And Fostering,SEND Local Offer,FSD
3755,Lambeth Adoption And Fostering,Young People,FSD
3843,Wheels For Wellbeing,Families,FSD
3843,Wheels For Wellbeing,SEND Local Offer,FSD
3843,Wheels For Wellbeing,Young People,FSD
3940,Crystal Palace Community Development Trust,Families,FSD
3940,Crystal Palace Community Development Trust,SEND Local Offer,FSD
3955,Kingswood Estate Community Shop,Young People,FSD
4063,Welcare - Lambeth Office,Families,FSD
4063,Welcare - Lambeth Office,SEND Local Offer,FSD
4147,National Autistic Society,Families,FSD
4147,National Autistic Society,SEND Local Offer,FSD
4265,Childline,Young People,FSD
4286,Lambeth Participation And Engagement Service (PES),Families,FSD
4286,Lambeth Participation And Engagement Service (PES),SEND Local Offer,FSD
4335,Disability Advice Service Lambeth (DASL),Families,FSD
4335,Disability Advice Service Lambeth (DASL),SEND Local Offer,FSD
4499,St Leonard's Church Of England Primary School - Breakfast Club,Families,ECD
4499,St Leonard's Church Of England Primary School - Breakfast Club,SEND Local Offer,ECD
4516,Norwood Community Group Services,Families,FSD
4516,Norwood Community Group Services,SEND Local Offer,FSD
4516,Norwood Community Group Services,Young People,FSD
4536,Kennington Park Academy (Primary Alternative Provision),Families,ECD
4536,Kennington Park Academy (Primary Alternative Provision),SEND Local Offer,ECD
4684,Roots & Shoots,Families,FSD
4684,Roots & Shoots,SEND Local Offer,FSD
4684,Roots & Shoots,Young People,FSD
4696,South Central Youth Ltd - Youth Projects,Families,FSD
4696,South Central Youth Ltd - Youth Projects,SEND Local Offer,FSD
4696,South Central Youth Ltd - Youth Projects,Young People,FSD
4817,St Stephen's Church Of England Primary School - After School Club,Families,ECD
4817,St Stephen's Church Of England Primary School - After School Club,SEND Local Offer,ECD
4842,Kids' City At Sudbourne Primary School - After School Club,Families,FSD
4842,Kids' City At Sudbourne Primary School - After School Club,SEND Local Offer,FSD
4851,Alford House Mixed Youth Club,Families,FSD
4851,Alford House Mixed Youth Club,SEND Local Offer,FSD
4851,Alford House Mixed Youth Club,Young People,FSD
4852,Alford House Girls Youth Club,Families,FSD
4852,Alford House Girls Youth Club,SEND Local Offer,FSD
4852,Alford House Girls Youth Club,Young People,FSD
4980,Morley College,Families,FSD
4980,Morley College,SEND Local Offer,FSD
5067,Bigkid Foundation,Families,FSD
5067,Bigkid Foundation,SEND Local Offer,FSD
5067,Bigkid Foundation,Young People,FSD
5114,S.Y.C.T. Streatham Wednesday Group,SEND Local Offer,FSD
5325,Coin Street Neighbourhood Centre,Families,FSD
5325,Coin Street Neighbourhood Centre,SEND Local Offer,FSD
5391,Butterfly After School Club,Families,ECD
5391,Butterfly After School Club,SEND Local Offer,ECD
5471,Springfield Community Flat Breakfast Club,Families,ECD
5471,Springfield Community Flat Breakfast Club,SEND Local Offer,ECD
5528,Chocolate Films Workshops,Families,FSD
5528,Chocolate Films Workshops,SEND Local Offer,FSD
5528,Chocolate Films Workshops,Young People,FSD
5678,Grove Adventure Playground,Families,FSD
5678,Grove Adventure Playground,SEND Local Offer,FSD
5678,Grove Adventure Playground,Young People,FSD
5771,Sports City At Richard Atkins Primary School - Breakfast Club,Families,FSD
5771,Sports City At Richard Atkins Primary School - Breakfast Club,SEND Local Offer,FSD
5836,Oakden Kids Club,Families,ECD
5836,Oakden Kids Club,SEND Local Offer,ECD
5869,All Sewn Up Training Project,Families,FSD
5869,All Sewn Up Training Project,SEND Local Offer,FSD
5869,All Sewn Up Training Project,Young People,FSD
5975,Saturday Community Days,Families,FSD
5975,Saturday Community Days,SEND Local Offer,FSD
5975,Saturday Community Days,Young People,FSD
5982,Prime Childcare Services,Families,FSD
5982,Prime Childcare Services,Young People,FSD
6019,Ashmole Primary School Edc - Extended Day Care,Families,ECD
6019,Ashmole Primary School Edc - Extended Day Care,SEND Local Offer,ECD
6022,Bonneville Primary School - Reading Café,Families,ECD
6022,Bonneville Primary School - Reading Café,SEND Local Offer,ECD
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),Families,ECD
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),SEND Local Offer,ECD
6024,Sudbourne Primary School - Breakfast Club,Families,ECD
6024,Sudbourne Primary School - Breakfast Club,SEND Local Offer,ECD
6025,Heathbrook Primary School - Breakfast Club,Families,ECD
6025,Heathbrook Primary School - Breakfast Club,SEND Local Offer,ECD
6026,Heathbrook Primary School - After School Club,Families,ECD
6026,Heathbrook Primary School - After School Club,SEND Local Offer,ECD
6029,Sunnyhill Primary School - Breakfast Club,Families,ECD
6029,Sunnyhill Primary School - Breakfast Club,SEND Local Offer,ECD
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,Families,FSD
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,SEND Local Offer,FSD
6033,Immanuel And St Andrew C Of E Primary School - After School Club,Families,ECD
6033,Immanuel And St Andrew C Of E Primary School - After School Club,SEND Local Offer,ECD
6041,Allen Edwards Primary School - Breakfast Club,Families,ECD
6041,Allen Edwards Primary School - Breakfast Club,SEND Local Offer,ECD
6043,Crown Lane Primary School - Breakfast Club,Families,ECD
6043,Crown Lane Primary School - Breakfast Club,SEND Local Offer,ECD
6077,Rape Crisis South London,Families,FSD
6077,Rape Crisis South London,Young People,FSD
6116,Upper Norwood Library,Families,FSD
6116,Upper Norwood Library,SEND Local Offer,FSD
6116,Upper Norwood Library,Young People,FSD
6126,Corpus Christi Catholic Primary School - After School Club,Families,ECD
6126,Corpus Christi Catholic Primary School - After School Club,SEND Local Offer,ECD
6128,Clapham Manor Primary School - After School Club,Families,ECD
6128,Clapham Manor Primary School - After School Club,SEND Local Offer,ECD
6129,Streatham Wells Primary School - After School Club,Families,ECD
6129,Streatham Wells Primary School - After School Club,SEND Local Offer,ECD
6130,Stockwell Primary School - Breakfast Club,Families,ECD
6130,Stockwell Primary School - Breakfast Club,SEND Local Offer,ECD
6132,Richard Atkins Primary School - Breakfast Club,Families,ECD
6132,Richard Atkins Primary School - Breakfast Club,SEND Local Offer,ECD
6135,Loughborough Primary School - Holiday Provision,Families,FSD
6135,Loughborough Primary School - Holiday Provision,SEND Local Offer,FSD
6138,Lily's Kids Klub,Families,ECD
6138,Lily's Kids Klub,SEND Local Offer,ECD
6139,Lily's Kids Klub,Families,ECD
6139,Lily's Kids Klub,SEND Local Offer,ECD
6143,Jubilee Primary School - Breakfast Club,Families,ECD
6143,Jubilee Primary School - Breakfast Club,SEND Local Offer,ECD
6149,Christ Church Primary Sw9 - Breakfast Club,Families,ECD
6149,Christ Church Primary Sw9 - Breakfast Club,SEND Local Offer,ECD
6151,Wyvil Primary School - Breakfast Club,Families,ECD
6151,Wyvil Primary School - Breakfast Club,SEND Local Offer,ECD
6156,Wellfield Education,Families,FSD
6156,Wellfield Education,SEND Local Offer,FSD
6156,Wellfield Education,Young People,FSD
6197,Fenstanton Infant School - Breakfast Club,Families,ECD
6197,Fenstanton Infant School - Breakfast Club,SEND Local Offer,ECD
6198,Fenstanton Infant School - After School Club,Families,ECD
6198,Fenstanton Infant School - After School Club,SEND Local Offer,ECD
6213,Cherubins Holiday Club,Families,FSD
6213,Cherubins Holiday Club,SEND Local Offer,FSD
6373,Brixton Wings,Families,FSD
6373,Brixton Wings,SEND Local Offer,FSD
6373,Brixton Wings,Young People,FSD
6580,Corpus Christi Catholic Primary School - Breakfast Club,Families,FSD
6580,Corpus Christi Catholic Primary School - Breakfast Club,SEND Local Offer,FSD
6583,Archbishop Sumner School - Breakfast Club,Families,ECD
6583,Archbishop Sumner School - Breakfast Club,SEND Local Offer,ECD
6584,Jessop Primary School - Breakfast Club,Families,ECD
6584,Jessop Primary School - Breakfast Club,SEND Local Offer,ECD
6585,Jessop Primary School - After School Club,Families,ECD
6585,Jessop Primary School - After School Club,SEND Local Offer,ECD
6586,Holy Trinity Church Of England Primary School - Breakfast Club,Families,ECD
