System_Ref,Name,Provider_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Easting,Northing,Upload_to_FIDy
6584,Jessop Primary School - Breakfast Club,Breakfast Club,Jessop School,Lowden Road,,,London,SE24 0BJ,532000,175160,ECD
975,Oasis Academy Johanna - Breakfast Club,Breakfast Club,Oasis Academy Johanna,Johanna Street,,,London,SE1 7RH,531185,179665,ECD
976,Oasis Academy Johanna - After School Club,After School Club,Johanna Primary School,Johanna Street,,,London,SE1 7RH,531185,179665,ECD
6143,Jubilee Primary School - Breakfast Club,Breakfast Club,Jubilee Primary School,Tulse Hill,,,London,SW2 2JE,531152,174290,ECD
7701,Jubilee Hearing Impairment Resource Base,Resource Base,Jubilee Primary School,Tulse Hill,,,London,SW2 2JE,531152,174290,FSD
6586,Holy Trinity Church Of England Primary School - Breakfast Club,Breakfast Club,Holy Trinity Church Of England Primary School,Upper Tulse Hill,,,London,SW2 2RL,530854,173742,ECD
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Breakfast Club,Immanuel And St Andrew Primary School,Buckleigh Road,,,London,SW16 5SL,530019,170581,ECD
6033,Immanuel And St Andrew C Of E Primary School - After School Club,After School Club,Immanuel And St Andrew Primary School,Buckleigh Road,,,London,SW16 5SL,530019,170581,ECD
3957,Friends Of Immanuel And St Andrews Primary School,Organisation,Immanuel And St Andrew Primary School,Buckleigh Road,,,London,SW16 5SL,530019,170581,FSD
919,Macaulay Church Of England Primary School - Breakfast Club,Breakfast Club,Macaulay Church Of England Primary School,Victoria Rise,,,London,SW4 0NU,528789,175481,ECD
7272,St Andrew's Church Of England Primary School - Breakfast Club,Breakfast Club,St Andrews Church Of England Primary School,Kay Road,,,London,SW9 9DE,530509,176083,ECD
7273,St Andrew's Church Of England Primary School - After School Club,After School Club,St Andrews Church Of England Primary School,Kay Road,,,London,SW9 9DE,530509,176083,ECD
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,After School Club,St Andrews Roman Catholic Primary School,Polworth Road,,,London,SW16 2ET,530283,171148,ECD
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,Breakfast Club,St Andrews Roman Catholic Primary School,Polworth Road,,,London,SW16 2ET,530283,171148,ECD
6587,Kings Avenue Primary School - Breakfast Club,Breakfast Club,Kings Avenue School House,Kings Avenue,,,London,SW4 8BQ,530059,174807,ECD
6588,Kings Avenue Primary School - After School Club,After School Club,Kings Avenue School House,Kings Avenue,,,London,SW4 8BQ,530059,174807,ECD
6590,Kingswood Primary School - After School Club,After School Club,Kingswood Primary School,Gipsy Road,,,London,SE27 9RD,532880,171495,ECD
6589,Kingswood Primary School - Breakfast Club,Breakfast Club,Kingswood Primary (upper) School,188 Gipsy Road,,,London,SE27 9RD,532880,171495,ECD
