System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_3_Description
6132,Richard Atkins Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6135,Loughborough Primary School - Holiday Provision,FSD,Childcare during the holidays
6138,Lily's Kids Klub,ECD,Breakfast and after school clubs
6139,Lily's Kids Klub,ECD,Breakfast and after school clubs
6143,Jubilee Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6149,Christ Church Primary Sw9 - Breakfast Club,ECD,Breakfast and after school clubs
6151,Wyvil Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6156,Wellfield Education,FSD,Out of school tuition
6197,Fenstanton Infant School - Breakfast Club,ECD,Breakfast and after school clubs
6198,Fenstanton Infant School - After School Club,ECD,Breakfast and after school clubs
6213,Cherubins Holiday Club,FSD,Childcare during the holidays
6373,Brixton Wings,FSD,"Music, dance and drama"
6580,Corpus Christi Catholic Primary School - Breakfast Club,FSD,Breakfast and after school clubs
6583,Archbishop Sumner School - Breakfast Club,ECD,Breakfast and after school clubs
6584,Jessop Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6585,Jessop Primary School - After School Club,ECD,Breakfast and after school clubs
6586,Holy Trinity Church Of England Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6587,Kings Avenue Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6588,Kings Avenue Primary School - After School Club,ECD,Breakfast and after school clubs
6589,Kingswood Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6590,Kingswood Primary School - After School Club,ECD,Breakfast and after school clubs
6591,Larkhall Children's Centre - Breakfast Club,ECD,Breakfast and after school clubs
6592,Larkhall Children's Centre - After School Club,ECD,Breakfast and after school clubs
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,ECD,Breakfast and after school clubs
6603,Telferscot Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),ECD,Breakfast and after school clubs
6607,St Saviour's School - Breakfast Club,ECD,Breakfast and after school clubs
6661,Explore Learning Brixton,FSD,Specialist Resource Base
6704,Aurora House - Centre For Children With Autism,FSD,Specialist Resource Base
6704,Aurora House - Centre For Children With Autism,FSD,Primary Resource Bases
6712,Oasis Adventure Playground,FSD,Adventure play
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Youth clubs
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Learning English
6805,Afewee Training Centre,FSD,Sports
6894,The Oasis Inclusion Project,FSD,Adventure play
6961,Streatham Leisure Centre Holiday Play Scheme,FSD,Holiday activities
6962,YPM Childcare Provider at Granton,ECD,Breakfast and after school clubs
7068,Coin Street Young Leaders,FSD,Youth clubs
7075,YPM Childcare Provider at Granton,ECD,Breakfast and after school clubs
7103,Pacca Out Of School Project,FSD,Breakfast and after school clubs
7110,Pacca Out Of School Project,FSD,Childcare during the holidays
7120,Young People Matter At The Old  Laundry - After School Club,ECD,Breakfast and after school clubs
7171,Brixton Recreation Centre,FSD,Leisure Centres
7200,Spiral Skills Cic,FSD,
7200,Spiral Skills Cic,FSD,Volunteering and work experience
7200,Spiral Skills Cic,FSD,Training
7240,Brixton Recreation Centre Play Scheme,FSD,Childcare during the holidays
7242,Super Camps at Dunraven School,FSD,Holiday activities
7242,Super Camps at Dunraven School,FSD,Childcare during the holidays
7244,Walnut Tree Walk Primary School - Breakfast Club,ECD,Breakfast and after school clubs
7245,Walnut Tree Walk Primary School - After School Club,ECD,Breakfast and after school clubs
7252,Dewdrops Play Scheme/nursery - After School Club,ECD,Breakfast and after school clubs
7253,Dewdrops Play Scheme/nursery - Breakfast Club,ECD,Breakfast and after school clubs
7254,Dewdrops Play Scheme/Nursery,FSD,"Nursery (Private, voluntary and independent providers)"
7260,Fit For Sport At Paxton Primary School - Breakfast Club,ECD,Breakfast and after school clubs
7261,Fit For Sport At Paxton Primary School - After School Club,ECD,Breakfast and after school clubs
7263,Glenbrook Primary School - Breakfast Club,FSD,Breakfast and after school clubs
7264,Glenbrook Primary School - After School Club,FSD,Breakfast and after school clubs
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,FSD,Breakfast and after school clubs
7272,St Andrew's Church Of England Primary School - Breakfast Club,ECD,Breakfast and after school clubs
7273,St Andrew's Church Of England Primary School - After School Club,ECD,Breakfast and after school clubs
7279,Pacca Out Of School Project,FSD,Breakfast and after school clubs
7280,Sally Kids Care,ECD,Breakfast and after school clubs
7281,Sally Kids Care,ECD,Breakfast and after school clubs
7282,Sally Kids Care,FSD,Childcare during the holidays
